Twitter Users,Retweeted User,Retweets,Generation,User followers
ClareCraigPath,EssexPR,1293,1,110309
kksheld,DrJBhattacharya,1287,2,118042
Cernovich,VPrasadMDMPH,1283,2,873580
YardleyShooting,hibbsy1973,1283,1,41446
JeffereyJaxen,MartinKulldorff,1280,1,27837
jorient,akheriaty,1278,1,8579
JenniferMarguli,rick_pittman,1277,1,13318
HegKong,ToniaBuxton,1271,1,31765
Notyour28981739,drsimonegold,1270,1,7878
ritamollerpalma,P_McCulloughMD,1268,1,5308
backtolife_2022,toadmeister,1258,3,91053
avoiceforchoice,RobertKennedyJr,1248,1,8093
YardleyShooting,abiroberts,1248,1,53384
YardleyShooting,toadmeister,1245,1,66119
jonrappoport,RobertKennedyJr,1244,1,70492
ChildrensHD,RobertKennedyJr,1242,1,77582
ClareCraigPath,MaajidNawaz,1238,1,88384
ChildrensHD,RobertKennedyJr,1230,1,80010
ClareCraigPath,ianmSC,1230,1,104538
kksheld,DrJBhattacharya,1206,2,118173
backtolife_2022,VPrasadMDMPH,1204,3,88602
ChildrensHD,RobertKennedyJr,1189,1,106376
GenRescue,RobertKennedyJr,1166,1,19780
Notyour28981739,SenRonJohnson,1160,1,12390
Notyour28981739,akheriaty,1132,1,11462
Notyour28981739,RobertKennedyJr,1129,1,11605
HegKong,JamesMelville,1125,1,31917
ChildrensHD,RobertKennedyJr,1118,1,80131
eileeniorio,MartyMakary,1109,1,20522
Notyour28981739,drsimonegold,1107,1,6719
hibbsy1973,AFaktow,1104,2,2564
ChildrensHD,RobertKennedyJr,1101,1,77079
richardursomd,drsimonegold,1098,1,135850
ClareCraigPath,DrAseemMalhotra,1090,1,110277
ChildrensHD,RobertKennedyJr,1081,1,82481
ChildrensHD,RobertKennedyJr,1076,1,80071
Believe_Mothers,delbigtree,1073,1,6036
ClareCraigPath,DrHoenderkamp,1068,1,101143
HowardGriffiths,RobertKennedyJr,1064,4,5034
TonyHinton2016,aginnt,1063,2,60084
ToniaBuxton,ScienceWDrDoug,1059,2,108450
ChildrensHD,RobertKennedyJr,1058,1,90798
YardleyShooting,JamesMelville,1058,1,41535
ClareCraigPath,PaulMitchell_AB,1056,1,106781
PamLongCO,RobertKennedyJr,1055,2,33694
ChildrensHD,RobertKennedyJr,1051,1,107359
Notyour28981739,RobertKennedyJr,1047,1,6778
andrewbostom,ianmSC,1046,2,46327
Notyour28981739,PaulMitchell_AB,1036,1,11882
kksheld,MartinKulldorff,1030,2,118737
jorient,richardursomd,1025,1,8100
ChildrensHD,RobertKennedyJr,1024,1,90686
ClareCraigPath,JamesMelville,1022,1,107873
JeffereyJaxen,MichaelYeadon3,1009,1,14293
ClareCraigPath,EssexPR,1006,1,85644
Believe_Mothers,JamesMelville,1003,1,5746
ezralevant,DrJBhattacharya,1000,2,352447
JenniferMarguli,RobertKennedyJr,998,1,13617
jorient,RepThomasMassie,998,1,7371
ClareCraigPath,ianmSC,975,1,74563
ClareCraigPath,ianmSC,975,1,110535
debnantz,HighWireTalk,971,1,9936
HegKong,DavidAnber,968,1,35984
ClareCraigPath,DrHoenderkamp,957,1,76629
ClareCraigPath,EssexPR,952,1,106354
sallyKP,RobertKennedyJr,951,1,12066
MythinformedMKE,DrJBhattacharya,949,2,80066
ClareCraigPath,DrJBhattacharya,947,1,89142
Notyour28981739,akheriaty,939,1,11887
ChildrensHD,RobertKennedyJr,937,1,88527
SNCCLA,RobertKennedyJr,927,1,5626
HegKong,TonyHinton2016,921,1,32031
ClareCraigPath,MartinKulldorff,913,1,78289
Notyour28981739,uTobian,912,1,7164
YardleyShooting,EssexPR,906,1,68633
avoiceforchoice,dockaurG,903,1,8311
robinmonotti,bmj_latest,898,1,24841
jorient,aginnt,892,1,8534
SNCCLA,richardursomd,890,1,4833
ChildrensHD,RobertKennedyJr,888,1,98343
brownstoneinst,DrJBhattacharya,883,2,18979
avoiceforchoice,akheriaty,883,1,8182
sallyKP,RobertKennedyJr,878,1,12163
eileeniorio,HighWireTalk,870,1,20661
JenniferMarguli,HighWireTalk,864,1,9495
Notyour28981739,RepThomasMassie,863,1,6623
avoiceforchoice,MartyMakary,863,1,8359
sallyKP,BusyDrT,855,1,13924
kksheld,DrJBhattacharya,851,2,117663
barnes_law,backtolife_2022,849,2,240141
ClareCraigPath,TonyHinton2016,847,1,107873
JeffereyJaxen,MartinKulldorff,841,1,22098
ChildrensHD,RobertKennedyJr,838,1,87592
Notyour28981739,ClayTravis,835,1,12446
ChildrensHD,RobertKennedyJr,827,1,80870
SNCCLA,drsimonegold,827,1,5079
ChildrensHD,RobertKennedyJr,826,2,108248
Notyour28981739,RobertKennedyJr,819,1,9433
jorient,RobertKennedyJr,815,2,9082
ChildrensHD,RobertKennedyJr,808,1,90347
jonrappoport,barnes_law,805,1,61878
ClareCraigPath,DrAseemMalhotra,804,1,87370
ChildrensHD,RobertKennedyJr,799,1,86303
barnes_law,DrJBhattacharya,797,2,238823
JeffereyJaxen,RandPaul,796,1,26475
ritamollerpalma,RobertKennedyJr,795,1,5355
YardleyShooting,SteveBakerHW,793,1,67369
avoiceforchoice,delbigtree,792,1,8358
eileeniorio,SharylAttkisson,789,1,19749
ChildrensHD,RobertKennedyJr,788,1,98452
JeffereyJaxen,MartinKulldorff,786,1,21340
HighWireTalk,SharylAttkisson,783,1,65953
