Twitter Users,Retweeted User,Retweets,Generation,User followers
robinmonotti,ollysmithtravel,21,1,28173
robinmonotti,MichaelYeadon3,21,1,21561
Notyour28981739,lifebiomedguru,21,1,6626
JeffereyJaxen,jonrappoport,21,1,14484
JeffereyJaxen,HighWireTalk,21,1,14956
JeffereyJaxen,HighWireTalk,21,1,27502
JeffereyJaxen,HighWireTalk,21,1,14650
JeffereyJaxen,HighWireTalk,21,1,21013
jonrappoport,forrestmaready,21,1,66579
jonrappoport,forrestmaready,21,1,66581
GenRescue,eileeniorio,21,1,19419
jorient,eileeniorio,21,1,7450
debnantz,DrTessaT,21,1,9930
JamesMelville,abiroberts,21,2,256051
anish_koka,VPrasadMDMPH,19,3,9869
Believe_Mothers,science_cited,19,1,4248
aginnt,JamesMelville,19,2,65628
JeffereyJaxen,HighWireTalk,19,2,29671
waynerohde,lifebiomedguru,17,2,4052
ezralevant,VPrasadMDMPH,16,2,351803
CDCgov,CDCMMWR,16,2,4779826
JackPosobiec,MaajidNawaz,15,2,1739448
hibbsy1973,YardleyShooting,13,2,2515
buckyouhorses,Ward57434516,13,3,588
JeffereyJaxen,HighWireTalk,13,2,29804
YardleyShooting,hibbsy1973,13,2,66727
RepThomasMassie,CDCgov,13,2,360765
HowardGriffiths,AnnieWBelle,13,4,5030
anish_koka,VPrasadMDMPH,12,3,9875
EssexPR,Togetherdec,12,2,237540
MartinKulldorff,DrJBhattacharya,12,2,236755
ajlamesa,bmj_latest,12,3,11845
JeffereyJaxen,HighWireTalk,11,2,29908
ToniaBuxton,cricketwyvern,11,2,107604
ake2306,buckyouhorses,11,3,11796
hibbsy1973,ake2306,11,2,2545
ToniaBuxton,Togetherdec,10,2,108005
JeffereyJaxen,ICANdecide,10,2,29978
ajlamesa,ECDC_EU,10,3,11033
waynerohde,DrTessaT,10,2,4010
hibbsy1973,AnnieWBelle,10,2,2556
DrHoenderkamp,EssexPR,9,3,74443
ajlamesa,ECDC_EU,9,3,11033
ToniaBuxton,alanvibe,9,2,107645
DrJBhattacharya,ajlamesa,9,2,180920
hibbsy1973,YardleyShooting,8,2,2545
DrHoenderkamp,Togetherdec,8,3,73568
MartyMakary,DrCaliff_FDA,8,2,150708
buckyouhorses,AnnieWBelle,8,3,597
HowardGriffiths,ake2306,8,4,5018
RobertKennedyJr,ChildrensHD,7,2,414312
backtolife_2022,SikhForTruth,7,3,89128
JeffereyJaxen,HighWireTalk,7,2,30010
JeffereyJaxen,HighWireTalk,7,2,29976
ezralevant,ATSoos,7,2,351721
TonyHinton2016,ake2306,7,2,60098
HowardGriffiths,Ward57434516,6,4,5043
AnnieWBelle,Ward57434516,6,3,1769
PaulMitchell_AB,derekjamesfrom,6,2,36401
LotusOak2,ICANdecide,5,1,47452
JuliusRuechel,CC_CRF,5,2,15619
HowardGriffiths,AnnieWBelle,5,4,5031
AnnieWBelle,Ward57434516,4,3,1799
hibbsy1973,Ward57434516,4,2,2547
CDCgov,CDCMMWR,4,2,4776737
hibbsy1973,buckyouhorses,4,2,2809
ajlamesa,BallouxFrancois,4,3,11038
Ward57434516,AnnieWBelle,4,4,61
Ward57434516,ake2306,4,4,66
lifebiomedguru,DrPanMD,3,2,45388
AnnieWBelle,Ward57434516,3,3,1792
buckyouhorses,Ward57434516,3,3,602
YardleyShooting,hibbsy1973,3,2,66727
AnnieWBelle,buckyouhorses,3,3,1717
bmj_latest,Azeem_Majeed,3,2,488918
hibbsy1973,AnnieWBelle,3,2,3001
d5_rss,YardleyShooting,2,3,2825
ChildrensHD,RobertKennedyJr,2,1,55846
avoiceforchoice,NVICLoeDown,2,1,8091
AAPSonline,MartyMakary,2,2,33485
hibbsy1973,HowardGriffiths,2,2,2827
AnnieWBelle,hibbsy1973,2,3,1724
ajlamesa,ECDC_EU,2,3,11033
pfizer,ColumbiaMed,2,2,481786
SteveBakerHW,BucksCouncil,2,2,152338
ChildrensHD,bmj_latest,2,1,53595
ChildrensHD,bmj_latest,2,1,53451
Ward57434516,AnnieWBelle,2,4,49
HowardGriffiths,AnnieWBelle,2,4,5017
hibbsy1973,AnnieWBelle,2,2,2998
AlietaEck,AAPSonline,2,2,17385
YardleyShooting,A1istair,2,2,66776
HighWireTalk,MartyMakary,1,2,140555
hibbsy1973,Ward57434516,1,2,2576
abiroberts,toadmeister,1,3,45207
ake2306,HowardGriffiths,1,3,12270
buckyouhorses,HowardGriffiths,1,3,584
hibbsy1973,HowardGriffiths,1,2,2828
AnnieWBelle,hibbsy1973,1,3,1727
YardleyShooting,hibbsy1973,1,2,66742
bmj_latest,EdMHill,1,2,488795
DrCharlesL,doctorcall,1,2,26323
DrCharlesL,doctorcall,1,2,26277
DrCharlesL,doctorcall,1,2,26292
YardleyShooting,d5_rss,1,2,66703
BucksCouncil,bucksccgs,1,3,21216
BucksCouncil,bucksccgs,1,3,21260
SteveBakerHW,bucksccgs,1,2,152283
SteveBakerHW,bucksccgs,1,2,152293
ajlamesa,BallouxFrancois,1,3,11038
Ward57434516,ake2306,1,4,63
CDCMMWR,WHO,0,3,50522
buckyouhorses,Ward57434516,0,3,513
abiroberts,ToniaBuxton,0,3,45279
hibbsy1973,sajidjavid,0,2,2825
AnnieWBelle,sajidjavid,0,3,1716
AnnieWBelle,sajidjavid,0,3,1785
abiroberts,JuliaHB1,0,3,45217
uTobian,JeffereyJaxen,0,1,32904
AnnieWBelle,HowardGriffiths,0,3,1720
AnnieWBelle,hibbsy1973,0,3,1717
HowardGriffiths,hibbsy1973,0,4,5021
rick_pittman,eduortu,0,2,36187
drnathimdladla,DrJBhattacharya,0,3,5527
SteveBakerHW,DrHoenderkamp,0,2,152481
doctorcall,DrCharlesL,0,3,1203
CC_CRF,dockaurG,0,3,1931
CC_CRF,dockaurG,0,3,1931
CC_CRF,dockaurG,0,3,1931
CC_CRF,dockaurG,0,3,1931
CC_CRF,dockaurG,0,3,1929
HowardGriffiths,AnnieWBelle,0,4,5041
waynerohde,AnimalsRule9,0,2,4036
ChildrensHD,akheriaty,0,2,108392
HowardGriffiths,ake2306,0,4,5034
hibbsy1973,ake2306,0,2,2545
AlietaEck,AAPSonline,0,2,17378
LotusOak2,ChildrensHD,0,1,47438
jorient,pfizer,4359,1,8021
kksheld,RMConservative,170,2,117937
